FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G11.Day1,G11,Before_Diet,1,1996,0.1444910959895758
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G11.Day3,G11,Before_Diet,3,528,0.04068423485899214
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G11.Day7,G11,Before_Diet,7,35,0.0027176022983150866
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G12.Day1,G12,Before_Diet,1,1369,0.12149449769258076
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G12.Day3,G12,Before_Diet,3,777,0.07119296316657504
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G12.Day7,G12,Before_Diet,7,33,0.003168811215671212
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G21.Day1,G21,Before_Diet,1,2511,0.21031912220453974
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G21.Day3,G21,Before_Diet,3,997,0.0649723036819811
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.G21.Day7,G21,Before_Diet,7,35,0.0022509486140587817
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H11.Day1,H11,After_Diet,1,2147,0.16594527747719895
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H11.Day3,H11,After_Diet,3,1256,0.08976558033161806
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H11.Day7,H11,After_Diet,7,20,0.0016165535079211122
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H12.Day1,H12,After_Diet,1,1561,0.12409571508069003
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H12.Day3,H12,After_Diet,3,752,0.05575739601097353
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H12.Day7,H12,After_Diet,7,1176,0.08882175226586103
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H13.Day1,H13,After_Diet,1,2011,0.1456296618147585
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H13.Day3,H13,After_Diet,3,1269,0.0977055743763474
cd3e52559a9e53dce7721688de8fd9b5,MOUSE.H13.Day7,H13,After_Diet,7,548,0.04636994415298697
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G11.Day1,G11,Before_Diet,1,30,0.0021717098595627625
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G11.Day3,G11,Before_Diet,3,2148,0.16551086453999075
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G11.Day7,G11,Before_Diet,7,2245,0.17431477599192483
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G12.Day1,G12,Before_Diet,1,8,7.099751508697196e-4
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G12.Day3,G12,Before_Diet,3,2136,0.19571192963166575
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G12.Day7,G12,Before_Diet,7,2161,0.20750912233531785
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G21.Day1,G21,Before_Diet,1,12,0.001005109305636988
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G21.Day3,G21,Before_Diet,3,2650,0.17269468882372108
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.G21.Day7,G21,Before_Diet,7,1413,0.09087401119043026
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H11.Day1,H11,After_Diet,1,56,0.004328335136806307
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H11.Day3,H11,After_Diet,3,1638,0.11706689536878216
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H11.Day7,H11,After_Diet,7,1978,0.159877141933398
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H12.Day1,H12,After_Diet,1,24,0.0019079418077748629
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H12.Day3,H12,After_Diet,3,743,0.0550900867502039
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H12.Day7,H12,After_Diet,7,97,0.007326283987915408
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H13.Day1,H13,After_Diet,1,28,0.00202766311825621
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H13.Day3,H13,After_Diet,3,800,0.061595318755774564
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H13.Day7,H13,After_Diet,7,205,0.017346420714164833
ca1392eaa969b2980a69cc34a327e112,MOUSE.G11.Day1,G11,Before_Diet,1,350,0.02533661502823223
ca1392eaa969b2980a69cc34a327e112,MOUSE.G11.Day3,G11,Before_Diet,3,344,0.026506395438434274
ca1392eaa969b2980a69cc34a327e112,MOUSE.G11.Day7,G11,Before_Diet,7,1167,0.09061262520382017
ca1392eaa969b2980a69cc34a327e112,MOUSE.G12.Day1,G12,Before_Diet,1,283,0.02511537096201633
ca1392eaa969b2980a69cc34a327e112,MOUSE.G12.Day3,G12,Before_Diet,3,282,0.02583837273227048
ca1392eaa969b2980a69cc34a327e112,MOUSE.G12.Day7,G12,Before_Diet,7,447,0.04292298828500096
ca1392eaa969b2980a69cc34a327e112,MOUSE.G21.Day1,G21,Before_Diet,1,141,0.011810034341234609
ca1392eaa969b2980a69cc34a327e112,MOUSE.G21.Day3,G21,Before_Diet,3,285,0.01857282502443793
ca1392eaa969b2980a69cc34a327e112,MOUSE.G21.Day7,G21,Before_Diet,7,1354,0.08707955495530259
ca1392eaa969b2980a69cc34a327e112,MOUSE.H11.Day1,H11,After_Diet,1,1845,0.1426031844179935
ca1392eaa969b2980a69cc34a327e112,MOUSE.H11.Day3,H11,After_Diet,3,777,0.055531732418524875
ca1392eaa969b2980a69cc34a327e112,MOUSE.H11.Day7,H11,After_Diet,7,179,0.014468153895893954
ca1392eaa969b2980a69cc34a327e112,MOUSE.H12.Day1,H12,After_Diet,1,1746,0.13880276651562126
ca1392eaa969b2980a69cc34a327e112,MOUSE.H12.Day3,H12,After_Diet,3,963,0.07140209090235042
ca1392eaa969b2980a69cc34a327e112,MOUSE.H12.Day7,H12,After_Diet,7,0,0
ca1392eaa969b2980a69cc34a327e112,MOUSE.H13.Day1,H13,After_Diet,1,1653,0.11970454051705409
ca1392eaa969b2980a69cc34a327e112,MOUSE.H13.Day3,H13,After_Diet,3,718,0.055281798583307666
ca1392eaa969b2980a69cc34a327e112,MOUSE.H13.Day7,H13,After_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day1,G11,Before_Diet,1,3225,0.23345880990299697
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day3,G11,Before_Diet,3,12,9.246417013407304e-4
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day7,G11,Before_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day1,G12,Before_Diet,1,3022,0.26819311324103656
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day3,G12,Before_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day7,G12,Before_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day1,G21,Before_Diet,1,2629,0.22020269704330345
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day3,G21,Before_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day7,G21,Before_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day1,H11,After_Diet,1,1067,0.08247024269593446
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day3,H11,After_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day7,H11,After_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day1,H12,After_Diet,1,1422,0.11304555211066063
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day3,H12,After_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day7,H12,After_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day1,H13,After_Diet,1,995,0.07205445723803316
